Gender,Age,Years of experience,Are you proud employee of your company ?,Do you recommend your friends and family to this company?,Do you understand how your performance is measured?,Do you feel that your contribution towards company goal is valued ?,Teamwork and Cooperation,Appraisal,Leadership,Learning and Development,Compensation and  Rewards [This company finds a ways other than pay to reward excellent performance],"Compensation and  Rewards [When people work extra hard to meet our goals, they are rewarded accordingly]","Compensation and  Rewards [In this company, excellent financial results translates into better pay for the employees]",Benefits [I understand my benefits plan ],Benefits [I am satisfied with my benefits plan],Benefits [I am satisfied with the office perks I am granted],Work Environment [The company work environment is safe and comfortable],Work Environment [The company encourages and supports healthy work life balance],Work Environment [I feel welcome at company events and social interaction],Is your company thoughtful for work life balance ?,Do you feel that our company takes adequate action to promote employee wellness?,Do you see a path to advance your career in our company?,Do you think that work is distributed evenly across your team?,Do you enjoy our company’s culture?
Male,25 - 29,below 3 years,5,5,5,4,Spirit teamwork and cooperation exist in my team,I am rewarded for the dedication and commitment towards the work,My opinions are heard and valued by my superiors,I have adequate opportunities for professional growth in this organization,Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Yes,Yes,Yes
Female,25 - 29,3 - 5 years,4,5,4,4,"Able to easily work together, share knowledge, and cooperate within and across teams.",I am rewarded for the dedication and commitment towards the work,My supervisor provides me with actionable suggestions on what I can do to improve,I find my work meaningful and challenging and provides me the opportunity to learn new things,Strongly Agree,Strongly Disagree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Yes,Yes,Yes
Male,25 - 29,3 - 5 years,5,5,4,5,Spirit teamwork and cooperation exist in my team,I am rewarded for the dedication and commitment towards the work,I am not able to share my mistakes and I am blamed for the mistake by my supervisor,I find my work meaningful and challenging and provides me the opportunity to learn new things,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Yes,Yes,Yes,Yes,No
Male,25 - 29,3 - 5 years,4,5,3,4,Spirit teamwork and cooperation exist in my team,I am rewarded for the dedication and commitment towards the work,I am not able to share my mistakes and I am blamed for the mistake by my supervisor,I find my work meaningful and challenging and provides me the opportunity to learn new things,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Yes,Yes,Yes,Maybe,No
Male,25 - 29,3 - 5 years,5,5,4,5,Spirit teamwork and cooperation exist in my team,Timely appraisal is done for the work we contribute,My supervisor provides me with actionable suggestions on what I can do to improve,I have adequate opportunities for professional growth in this organization,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Yes,No,Yes,Yes,No
Male,25 - 29,3 - 5 years,1,5,5,4,"Able to easily work together, share knowledge, and cooperate within and across teams.",I am rewarded for the dedication and commitment towards the work,My opinions are heard and valued by my superiors,I find my work meaningful and challenging and provides me the opportunity to learn new things,Neutral,Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,No,Yes,Yes,Maybe
Male,25 - 29,below 3 years,5,5,4,4,"Able to easily work together, share knowledge, and cooperate within and across teams.",I am rewarded for the dedication and commitment towards the work,My supervisor provides me with actionable suggestions on what I can do to improve,I have adequate opportunities for professional growth in this organization,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Maybe,No,Yes,Maybe
Female,25 - 29,below 3 years,5,5,5,5,Spirit teamwork and cooperation exist in my team,I am rewarded for the dedication and commitment towards the work,My supervisor provides me with actionable suggestions on what I can do to improve,I have adequate opportunities for professional growth in this organization,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Neutral,Yes,Yes,Yes,Yes,Yes
Male,25 - 29,below 3 years,5,4,5,4,Spirit teamwork and cooperation exist in my team,Timely appraisal is done for the work we contribute,I am not able to share my mistakes and I am blamed for the mistake by my supervisor,I find my work meaningful and challenging and provides me the opportunity to learn new things,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Yes,Yes,Yes,Yes,Yes
Male,25 - 29,below 3 years,5,5,5,4,"Able to easily work together, share knowledge, and cooperate within and across teams.",I am rewarded for the dedication and commitment towards the work,My opinions are heard and valued by my superiors,I have adequate opportunities for professional growth in this organization,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Yes,Yes,Yes
